Index,Continent,Companycountry,Metal,Mine,Status
1,Asia,Russia,Dia,Catoca,Operating
2,Africa,Angola,Dia,Cuango,"Operating, exp/plans"
3,Africa,Angola,Dia,Empresa,Active
4,Africa,Angola,Dia,Luarica,Suspended
5,Africa,Angola,Dia,Lucapa,Operating
6,Europe,UK,Dia,Luo,"Susp, restart/feasib"
7,Europe,UK,Dia,Yetwene,Suspended
8,Europe,UK,Dia,Damtshaa,Suspended
9,Africa,Botswana,Mn,Jacomar,Suspended
10,Europe,UK,Dia,Jwaneng,"Operating, exp/feasib"
11,North America,Canada,Dia,Karowe,Operating
12,Europe,UK,Dia,Letlhakane,Operating
13,North America,Canada,Au,Monarch,Closed
14,Europe,UK,Coal,Morupule,"Operating, exp/plans"
15,Europe,Luxembourg,Cu,Mowana,Suspended
16,North America,Canada,Au,Mupane,Operating
17,Europe,UK,Dia,Orapa,Operating
18,Asia,Russia,Co,Phoenix,"Operating, exp/plans"
19,Asia,Russia,Cu,Phoenix,"Operating, exp/plans"
20,Asia,Russia,Au,Phoenix,"Operating, exp/plans"
21,Asia,Russia,Ni,Phoenix,"Operating, exp/plans"
22,Asia,Russia,PGM,Phoenix,"Operating, exp/plans"
23,Asia,Russia,Ag,Phoenix,"Operating, exp/plans"
24,Africa,Botswana,Co,Selebi-Phikwe,Operating
25,Africa,Botswana,Cu,Selebi-Phikwe,Operating
26,Africa,Botswana,Ni,Selebi-Phikwe,Operating
27,Asia,Russia,Co,Tati,Active
28,Asia,Russia,Cu,Tati,Active
29,Asia,Russia,Au,Tati,Active
30,Asia,Russia,Ni,Tati,Active
31,Asia,Russia,PGM,Tati,Active
32,Asia,Russia,Ag,Tati,Active
33,North America,Canada,Au,Essakane,"Operating, exp/constr"
34,Europe,UK,Au,Inata,Operating
35,Europe,UK,Au,Kalsaka,Operating
36,North America,Canada,Au,Mana,"Operating, exp/feasib"
37,Africa,Burkina Faso,Ag,St,Active
38,Africa,Burkina Faso,Au,St,Active
39,Asia,Russia,Au,Taparko,Operating
40,North America,Canada,Au,Youga,Operating
41,Africa,Congo (Brazzaville),Cu,St,Active
42,Africa,Congo (Brazzaville),Pb,St,Active
43,Africa,Congo (Brazzaville),Zn,St,Active
44,North America,Canada,Au,Afema,Suspended
45,Oceania,Australia,Au,Bonikro,Operating
46,Africa,Egypt,Au,Ity,Operating
47,Africa,Cote d'Ivoire,Coltan,St,Active
48,Africa,South Africa,Au,Tongon,Operating
49,Europe,UK,Au,Yaoure,"Susp, restart/plans"
50,North America,USA,Co,Big,Operating
51,North America,USA,Cu,Big,Operating
52,North America,USA,Zn,Big,Operating
53,Oceania,Australia,Cu,Dikulushi,"Operating, exp/feasib"
54,Oceania,Australia,Ag,Dikulushi,"Operating, exp/feasib"
55,Asia,United Arab Emirates,Co,Etoile,Operating
56,Asia,United Arab Emirates,Cu,Etoile,Operating
57,Europe,UK,Cu,Frontier,"Susp, restart/plans"
58,Africa,Congo (DRC),Co,Gecamines,Operating
59,Africa,Congo (DRC),Cu,Gecamines,Operating
60,Africa,Congo (DRC),Au,Gecamines,Operating
61,Africa,Congo (DRC),Ag,Gecamines,Operating
62,Africa,Congo (DRC),Zn,Gecamines,Operating
63,Africa,Congo (DRC),Au,Gold,Active
64,Europe,Switzerland,Co,Kamoto,"Operating, exp/constr"
65,Europe,Switzerland,Cu,Kamoto,"Operating, exp/constr"
66,Asia,China,Cu,Kinsevere,Operating
67,Europe,UK,Cu,Lonshi,Suspended
68,Africa,Congo (DRC),Co,Luiswishi,Closed
69,Africa,Congo (DRC),Cu,Luiswishi,Closed
70,Europe,UK,Cu,Luita,Operating
71,Africa,Congo (DRC),Dia,Mbuyi-Mayi,Operating
72,Europe,UK,Co,Mukondo-Kabolela,Operating
73,Europe,UK,Cu,Mukondo-Kabolela,Operating
74,Europe,Switzerland,Co,Mutanda,"Operating, exp/plans"
75,Europe,Switzerland,Cu,Mutanda,"Operating, exp/plans"
76,Asia,China,Cu,Mutoshi,Suspended
77,Asia,China,Co,Ruashi,Operating
78,Asia,China,Cu,Ruashi,Operating
79,Africa,Congo (DRC),Cu,St,Active
80,Africa,Congo (DRC),Au,St,Active
81,Africa,Congo (DRC),Coltan,St,Active
82,Africa,Congo (DRC),Sn,St,Active
83,Africa,Congo (DRC),W,St,Active
84,Africa,Congo (DRC),Mn,St,Active
85,North America,USA,Co,Tenke,"Operating, exp/plans"
86,North America,USA,Cu,Tenke,"Operating, exp/plans"
87,North America,Canada,Au,Twangiza,Operating
88,Europe,Belgium,Sn,Zairetain,Active
89,North America,Canada,Au,Bisha,Operating
90,Africa,Ethiopia,Coltan,Kenticha,Operating
91,Asia,Saudi Arabia,Au,Lega,"Operating, exp/constr"
92,Europe,France,U,Cie,Active
93,Europe,France,Mn,Moanda,Operating
94,North America,USA,Au,Ahafo,Operating
95,Africa,Ghana,Dia,Akwatia,Operating
96,Asia,China,Al,Awaso,Operating
97,Oceania,Australia,Au,Bibiani,Operating
98,North America,USA,Au,Bogoso/Prestea,"Operating, exp/plans"
99,North America,Canada,Au,Chirano,"Operating, exp/feasib"
100,Africa,South Africa,Au,Damang,Operating
101,Oceania,Australia,Au,Edikan,Operating
102,Africa,South Africa,Au,Iduapriem,Operating
103,North America,Canada,Au,Jeni,Suspended
104,Asia,Singapore,Au,Konongo,Operating
105,North America,Canada,Au,Kwabeng,Operating
106,Africa,Ghana,Au,Med,Operating
107,Oceania,Australia,Mn,Nsuta-Wassaw,Operating
108,North America,Canada,Au,Nzema,Operating
109,Oceania,Australia,Au,Obenemase,Active
110,North America,Canada,Au,Obotan,"Susp, restart/feasib"
111,Africa,South Africa,Au,Obuasi,Operating
112,Africa,Ghana,Au,Prestea,Suspended
113,Africa,South Africa,Au,Prestea,Operating
114,Africa,South Africa,Au,Tarkwa,"Operating, exp/feasib"
115,Africa,South Africa,Au,Teberebie,Operating
116,North America,USA,Au,Wassa,Operating
117,North America,Canada,Dia,Aredor,Operating
118,Africa,Guinea,Al,Boke,Operating
119,Asia,Russia,Al,Friguia,Operating
120,North America,Canada,Dia,Hymex,Active
121,Asia,Russia,Al,Kindia,Operating
122,North America,Canada,Au,Kiniero,Operating
123,Asia,Russia,Au,Lero-Fayalala,"Operating, exp/plans"
124,Africa,South Africa,Au,Siguiri,Operating
125,Africa,South Africa,Au,Lolgorien,Operating
126,Europe,UK,Dia,Letseng,"Operating, exp/feasib"
127,Europe,UK,Dia,Liqhobong,Operating
128,Africa,Liberia,Fe,Lamco,Closed
129,Africa,Liberia,Fe,Liberian,Active
130,Europe,UK,Fe,Yekepa,Operating
131,North America,Canada,Co,Ambatovy,Operating
132,North America,Canada,Ni,Ambatovy,Operating
133,Africa,Madagascar,Cr,Kraomita,Operating
134,Oceania,Australia,U,Kayelekera,Operating
135,Africa,South Africa,Au,Gounkoto,Operating
136,Europe,UK,Au,Kalana,"Operating, exp/constr"
137,Africa,South Africa,Au,Loulo,Operating
138,Africa,South Africa,Au,Morila,Operating
139,Africa,South Africa,Au,Sadiola,"Operating, exp/feasib"
140,Africa,Mali,Au,St,Active
141,Oceania,Australia,Au,Syama,"Operating, exp/constr"
142,North America,Canada,Au,Tabakoto,Operating
143,Africa,South Africa,Au,Yatela,Operating
144,Europe,UK,Coal,Benga,Operating
145,Europe,UK,Coltan,Marropino,Operating
146,Oceania,Australia,Coal,Minas,"Operating, exp/feasib"
147,South America,Brazil,Coal,Moatize,"Operating, exp/constr"
148,Europe,UK,Dia,Atlantic,Operating
149,Europe,UK,Dia,Elizabeth,Operating
150,Africa,South Africa,Cu,Kombat/Asis,Suspended
151,Africa,South Africa,Pb,Kombat/Asis,Suspended
152,Africa,South Africa,Ag,Kombat/Asis,Suspended
153,Oceania,Australia,U,Langer,"Operating, exp/constr"
154,Europe,UK,Cu,Matchless,Operating
155,Europe,UK,Ag,Matchless,Operating
156,Europe,UK,Dia,Mining,Operating
157,Europe,UK,Dia,Namco,Operating
158,Europe,UK,Dia,Namdeb,Operating
159,Africa,South Africa,Au,Navachab,Operating
160,Europe,UK,Dia,Orange,Operating
161,Europe,UK,Cu,Otjihase,Operating
162,Europe,UK,Au,Otjihase,Operating
163,Europe,UK,Ag,Otjihase,Operating
164,Africa,South Africa,Mn,Otjisondu,Operating
165,Europe,Switzerland,Pb,Rosh,Operating
166,Europe,Switzerland,Ag,Rosh,Operating
167,Europe,Switzerland,Zn,Rosh,Operating
168,Europe,UK,U,R,"Operating, exp/plans"
169,Europe,UK,Zn,Skorpion,Operating
170,Europe,UK,Cu,Tsumeb,Closed
171,Europe,UK,Pb,Tsumeb,Closed
172,Europe,UK,Ag,Tsumeb,Closed
173,Europe,UK,Zn,Tsumeb,Closed
174,Europe,France,U,Akouta,Operating
175,Europe,France,U,Arlit,Operating
176,Europe,France,Mo,Cie,Active
177,North America,Canada,Au,Samira,Operating
178,Africa,Niger,Sn,St,
179,Africa,Nigeria,Fe,Itakpe,Operating
180,Africa,Nigeria,Sn,Nigerian,Active
181,Africa,Niger,Coal,Tefereyre,Operating
182,Africa,Rwanda,W,Regie,Active
183,Africa,Senegal,PO43,Cie,Active
184,Oceania,Australia,Au,Douta,Suspended
185,North America,Canada,Au,Sabodala,"Operating, exp/feasib"
186,Europe,France,PO43,Thies,Operating
187,Europe,UK,Fe,Marampa,"Operating, exp/plans"
188,Africa,Sierra Leone,Al,Sierra,Active
189,Europe,Switzerland,Ti,Sierra,"Operating, exp/feasib"
190,Europe,Netherlands,Al,SML,Operating
191,Africa,South Africa,Dia,Dokolwayo,Closed
192,Africa,Swaziland,Coal,Maloma,Operating
193,North America,Canada,Au,Bulyanhulu,"Operating, exp/feasib"
194,North America,Canada,Au,Buzwagi,Operating
195,Africa,South Africa,Au,Geita,"Operating, exp/plans"
196,Oceania,Australia,Au,Golden,Operating
197,Europe,UK,Au,New,Operating
198,North America,Canada,Au,North,Operating
199,Africa,Tanzania,Au,State,Active
200,North America,Canada,Au,Tulawaka,Operating
201,Africa,South Africa,Dia,Williamson,Operating
202,Africa,Togo,PO43,Cie,Active
203,Africa,Togo,PO43,Office,Active
204,Africa,Uganda,W,Bjordal,Operating
205,Africa,Uganda,Cu,Kilembe,Active
206,Asia,China,Cu,Baluba,Operating
207,North America,Canada,Cu,Bwana,Closed
208,Asia,China,Cu,Chambishi,"Operating, exp/constr"
209,Asia,China,Co,Chibuluma,Closed
210,Asia,China,Cu,Chibuluma,Closed
211,Asia,China,Cu,Chibuluma,Operating
212,North America,Canada,Au,Dunrobin,"Susp, restart/constr"
213,North America,Canada,Cu,Kansanshi,Operating
214,North America,Canada,Cu,Kansanshi,"Operating, exp/constr"
215,North America,Canada,Au,Kansanshi,"Operating, exp/constr"
216,Europe,UK,Cu,Konkola,Operating
217,Europe,UK,Cu,Luanshya,"Susp, restart/plans"
218,South America,Brazil,Cu,Lubambe,Operating
219,North America,Canada,Cu,Lumwana,"Operating, exp/feasib"
220,Europe,Switzerland,Cu,Mufulira,Operating
221,Europe,UK,Cu,Nchanga,Operating
