Index,Companycountry,Metal,Mine,Status
0,Russia,Dia,Catoca,Operating
1,Angola,Dia,Cuango,"Operating, exp/plans"
2,Angola,Dia,Empresa,Active
3,Angola,Dia,Luarica,Suspended
4,Angola,Dia,Lucapa,Operating
5,UK,Dia,Luo,"Susp, restart/feasib"
6,UK,Dia,Yetwene,Suspended
7,UK,Dia,Damtshaa,Suspended
8,Botswana,Mn,Jacomar,Suspended
9,UK,Dia,Jwaneng,"Operating, exp/feasib"
10,Canada,Dia,Karowe,Operating
11,UK,Dia,Letlhakane,Operating
12,Canada,Au,Monarch,Closed
13,UK,coal,Morupule,"Operating, exp/plans"
14,Luxembourg,Cu,Mowana,Suspended
15,Canada,Au,Mupane,Operating
16,UK,Dia,Orapa,Operating
17,Russia,Co,Phoenix,"Operating, exp/plans"
18,Russia,Cu,Phoenix,"Operating, exp/plans"
19,Russia,Au,Phoenix,"Operating, exp/plans"
20,Russia,Ni,Phoenix,"Operating, exp/plans"
21,Russia,PGM,Phoenix,"Operating, exp/plans"
22,Russia,PGM,Phoenix,"Operating, exp/plans"
23,Russia,PGM,Phoenix,"Operating, exp/plans"
24,Russia,Ag,Phoenix,"Operating, exp/plans"
25,Botswana,Co,Selebi-Phikwe,Operating
26,Botswana,Cu,Selebi-Phikwe,Operating
27,Botswana,Ni,Selebi-Phikwe,Operating
28,Russia,Co,Tati,Active
29,Russia,Cu,Tati,Active
30,Russia,Au,Tati,Active
31,Russia,Ni,Tati,Active
32,Russia,PGM,Tati,Active
33,Russia,PGM,Tati,Active
34,Russia,PGM,Tati,Active
35,Russia,Ag,Tati,Active
36,Canada,Au,Essakane,"Operating, exp/constr"
37,UK,Au,Inata,Operating
38,UK,Au,Kalsaka,Operating
39,Canada,Au,Mana,"Operating, exp/feasib"
40,Burkina Faso,Ag,St_,Active
41,Burkina Faso,Au,St_,Active
42,Russia,Au,Taparko,Operating
43,Canada,Au,Youga,Operating
44,Congo (Brazzaville),Cu,St_,Active
45,Congo (Brazzaville),Pb,St_,Active
46,Congo (Brazzaville),Zn,St_,Active
47,Canada,Au,Afema,Suspended
48,Australia,Au,Bonikro,Operating
49,Egypt,Au,Ity,Operating
50,Cote d'Ivoire,coltan,St_,Active
51,South Africa,Au,Tongon,Operating
52,UK,Au,Yaoure,"Susp, restart/plans"
53,USA,Co,Big,Operating
54,USA,Cu,Big,Operating
55,USA,Zn,Big,Operating
56,Australia,Cu,Dikulushi,"Operating, exp/feasib"
57,Australia,Ag,Dikulushi,"Operating, exp/feasib"
58,United Arab Emirates,Co,Etoile,Operating
59,United Arab Emirates,Cu,Etoile,Operating
60,UK,Cu,Frontier,"Susp, restart/plans"
61,Congo (DRC),Co,Gecamines,Operating
62,Congo (DRC),Cu,Gecamines,Operating
63,Congo (DRC),Au,Gecamines,Operating
64,Congo (DRC),Ag,Gecamines,Operating
65,Ethiopia,coltan,Kenticha,Operating
66,Saudi Arabia,Au,Lega,"Operating, exp/constr"
67,France,U,Cie,Active
68,France,Mn,Moanda,Operating
69,USA,Au,Ahafo,Operating
70,Ghana,Dia,Akwatia,Operating
71,China,Al,Awaso,Operating
72,Australia,Au,Bibiani,Operating
73,USA,Au,Bogoso/Prestea,"Operating, exp/plans"
74,Canada,Au,Chirano,"Operating, exp/feasib"
75,South Africa,Au,Damang,Operating
76,Australia,Au,Edikan,Operating
77,South Africa,Au,Iduapriem,Operating
78,Canada,Dia,Aredor,Operating
79,Guinea,Al,Boke,Operating
80,Russia,Al,Friguia,Operating
81,Canada,Dia,Hymex,Active
82,Russia,Al,Kindia,Operating
83,Canada,Au,Kiniero,Operating
84,Russia,Au,Lero-Fayalala,"Operating, exp/plans"
85,South Africa,Au,Siguiri,Operating
86,South Africa,Au,Lolgorien,Operating
87,UK,Dia,Letseng,"Operating, exp/feasib"
88,UK,Dia,Liqhobong,Operating
89,Liberia,Fe,Lamco,Closed
90,Liberia,Fe,Liberian,Active
91,UK,Fe,Yekepa,Operating
92,Canada,Co,Ambatovy,Operating
93,Canada,Ni,Ambatovy,Operating
94,Madagascar,Cr,Kraomita,Operating
95,Australia,U,Kayelekera,Operating
96,South Africa,Au,Gounkoto,Operating
97,UK,Au,Kalana,"Operating, exp/constr"
98,South Africa,Au,Loulo,Operating
99,South Africa,Au,Morila,Operating
100,South Africa,Au,Sadiola,"Operating, exp/feasib"
101,Mali,Au,St_,Active
102,Australia,Au,Syama,"Operating, exp/constr"
103,Canada,Au,Tabakoto,Operating
104,South Africa,Au,Yatela,Operating
105,UK,coal,Benga,Operating
106,UK,coltan,Marropino,Operating
107,Australia,coal,Minas,"Operating, exp/feasib"
108,Brazil,coal,Moatize,"Operating, exp/constr"
109,UK,Dia,Atlantic,Operating
110,UK,Dia,Elizabeth,Operating
111,South Africa,Cu,Kombat/Asis,Suspended
112,South Africa,Pb,Kombat/Asis,Suspended
113,South Africa,Ag,Kombat/Asis,Suspended
114,Australia,U,Langer,"Operating, exp/constr"
115,UK,Cu,Matchless,Operating
116,UK,Ag,Matchless,Operating
117,UK,Dia,Mining,Operating
118,UK,Dia,Namco,Operating
119,UK,Dia,Namdeb,Operating
120,UK,Dia,Namdeb,Operating
121,South Africa,Au,Navachab,Operating
122,UK,Dia,Orange,Operating
123,UK,Cu,Otjihase,Operating
124,UK,Au,Otjihase,Operating
125,UK,Ag,Otjihase,Operating
126,South Africa,Mn,Otjisondu,Operating
127,Switzerland,Pb,Rosh,Operating
128,Switzerland,Ag,Rosh,Operating
129,Switzerland,Zn,Rosh,Operating
130,UK,U,R_ssing,"Operating, exp/plans"
131,UK,Zn,Skorpion,Operating
132,UK,Cu,Tsumeb,Closed
133,UK,Pb,Tsumeb,Closed
134,UK,Ag,Tsumeb,Closed
135,UK,Zn,Tsumeb,Closed
136,France,U,Akouta,Operating
137,France,U,Arlit,Operating
138,France,Mo,Cie,Active
139,Canada,Au,Samira,Operating
140,Niger,Sn,St_,
141,Nigeria,Fe,Itakpe,Operating
142,Nigeria,Sn,Nigerian,Active
143,Niger,coal,Tefereyre,Operating
144,Rwanda,W,Regie,Active
145,Senegal,PO43,Cie,Active
146,Australia,Au,Douta,Suspended
147,Canada,Au,Sabodala,"Operating, exp/feasib"
148,France,PO43,Thies,Operating
149,UK,Fe,Marampa,"Operating, exp/plans"
150,Sierra Leone,Al,Sierra,Active
151,Switzerland,Ti,Sierra,"Operating, exp/feasib"
152,Netherlands,Al,SML,Operating
153,South Africa,Dia,Dokolwayo,Closed
154,Swaziland,coal,Maloma,Operating
155,Canada,Au,Bulyanhulu,"Operating, exp/feasib"
156,Canada,Au,Buzwagi,Operating
157,South Africa,Au,Geita,"Operating, exp/plans"
158,Australia,Au,Golden,Operating
159,UK,Au,New,Operating
160,Canada,Au,North,Operating
161,Tanzania,Au,State,Active
162,Canada,Au,Tulawaka,Operating
163,South Africa,Dia,Williamson,Operating
164,Togo,PO43,Cie,Active
165,Togo,PO43,Office,Active
166,Uganda,W,Bjordal,Operating
167,Uganda,Cu,Kilembe,Active
168,China,Cu,Baluba,Operating
169,Canada,Cu,Bwana,Closed
170,China,Cu,Chambishi,"Operating, exp/constr"
171,China,Co,Chibuluma,Closed
172,China,Cu,Chibuluma,Closed
173,China,Cu,Chibuluma,Operating
174,Canada,Au,Dunrobin,"Susp, restart/constr"
175,Canada,Cu,Kansanshi,Operating
176,Canada,Cu,Kansanshi,"Operating, exp/constr"
177,Canada,Au,Kansanshi,"Operating, exp/constr"
178,UK,Cu,Konkola,Operating
179,UK,Cu,Luanshya,"Susp, restart/plans"
180,Brazil,Cu,Lubambe,Operating
181,Canada,Cu,Lumwana,"Operating, exp/feasib"
182,Switzerland,Cu,Mufulira,Operating
183,Switzerland,Cu,Mufulira,Operating
184,UK,Cu,Nchanga,Operating
185,UK,Co,Nchanga,Operating
186,UK,Cu,Nchanga,Operating
187,Switzerland,Co,Nkana,"Operating, exp/plans"
188,Switzerland,Cu,Nkana,"Operating, exp/plans"
189,Switzerland,Co,Sable,Operating
190,Switzerland,Cu,Sable,Operating
191,Zimbabwe,Au,Aardcor,Active
192,South Africa,Au,Arcturus,Operating
193,South Africa,Au,Athens,Suspended
194,South Africa,Au,Attica,Active
195,Zimbabwe,Li,Bikita,Active
196,UK,Co,Bindura,Active
197,UK,Cu,Bindura,Active
198,UK,Ni,Bindura,Active
199,UK,PGM,Bindura,Active
200,UK,PGM,Bindura,Active
201,UK,PGM,Bindura,Active
202,Canada,Au,Blanket,"Operating, exp/plans"
203,India,Fe,Buchwa,Closed
204,Zimbabwe,Au,Cam,Operating
205,Canada,Au,Camperdown,Operating
206,Canada,Au,Connemara,Closed
207,South Africa,Cu,Corsyn,Active
208,South Africa,Ag,Corsyn,Active
209,Canada,Au,Dalny,Operating
210,Zimbabwe,PO43,Dorowa,Active
211,Zimbabwe,Au,Elvington,Operating
212,UK,Co,Epoch,Closed
213,UK,Cu,Epoch,Closed
214,UK,Ni,Epoch,Closed
215,South Africa,Au,Eureka,Operating
216,Zimbabwe,Au,Freda,Suspended
217,UK,Au,Freda,"Operating, exp/plans"
218,Canada,Au,Golden,Closed
219,Canada,Au,Golden,Operating
220,South Africa,PGM,Hartley,Suspended
221,South Africa,PGM,Hartley,Suspended
222,South Africa,PGM,Hartley,Suspended
223,South Africa,PGM,Hartley,Suspended
224,South Africa,Au,How,Operating
225,Zimbabwe,coal,Hwange,Operating
226,Zimbabwe,coal,Hwange,Operating
227,Canada,Au,Indarama,Suspended
228,UK,Au,Inez,Suspended
229,Zimbabwe,Au,Jena,Operating
230,Zimbabwe,coltan,Kamativi,Active
231,Zimbabwe,coltan,Kamativi,Active
232,Zimbabwe,Sn,Kamativi,Active
233,UK,Co,Madziwa,Closed
234,UK,Cu,Madziwa,Closed
235,UK,Ni,Madziwa,Closed
236,UK,Au,Maligreen,Closed
237,South Africa,Au,Mazowe,Suspended
238,Zimbabwe,Cu,Merits,Active
239,South Africa,Au,Metallon,Active
240,Zimbabwe,Cu,Mhangura,Active
241,Zimbabwe,Au,Mhangura,Active
242,Zimbabwe,PGM,Mhangura,Active
243,Zimbabwe,PGM,Mhangura,Active
244,Zimbabwe,PGM,Mhangura,Active
245,Zimbabwe,Ag,Mhangura,Active
246,Australia,Co,Mimosa,Operating
247,Australia,Cu,Mimosa,Operating
248,Australia,Au,Mimosa,Operating
