Latitude,Longitude,country,shortname
-9.95,20.3833,Angola,Catoca
-9.95,20.3833,Angola,Catoca
,,Angola,Cia
,,Angola,Cia
-9,18,Angola,Cuango
-9,18,Angola,Cuango
,,Angola,Empresa
-8.28,21.04,Angola,Luarica
-8.4167,20.7333,Angola,Lucapa
-9.25,19.9,Angola,Luo
-9.25,19.9,Angola,Luo
-8.2667,20.5667,Angola,Yetwene
21.31,25.536,Botswana,Damtshaa
,,Botswana,Damtshaa
,,Botswana,Jacomar
24.5231,24.7019,Botswana,Jwaneng
,,Botswana,Jwaneng
21.301,25.286,Botswana,Karowe
,,Botswana,Letlhakane
21.5203,25.6889,Botswana,Letlhakane
,,Botswana,Monarch
,,Botswana,Morupule
,,Botswana,Mowana
,,Botswana,Mupane
21.3083,25.3694,Botswana,Orapa
,,Botswana,Orapa
,,Botswana,Phoenix
,,Botswana,Phoenix
,,Botswana,Phoenix
,,Botswana,Phoenix
,,Botswana,Phoenix
,,Botswana,Phoenix
,,Botswana,Phoenix
,,Botswana,Phoenix
,,Botswana,Selebi-Phikwe
,,Botswana,Selebi-Phikwe
,,Botswana,Selebi-Phikwe
21.21,27.42,Botswana,Tati
,,Botswana,Tati
,,Botswana,Tati
,,Botswana,Tati
,,Botswana,Tati
,,Botswana,Tati
,,Botswana,Tati
,,Botswana,Tati
14.3333,-0.0333,Burkina Faso,Essakane
14.367,-1.303,Burkina Faso,Inata
13.1833,-1.9833,Burkina Faso,Kalsaka
12.4833,-2.1833,Burkina Faso,Mana
11.5667,-2.8667,Burkina Faso,Poura
,,Burkina Faso,Sté
,,Burkina Faso,Sté
13.48,0.36,Burkina Faso,Taparko
11.05,-0.45,Burkina Faso,Youga
,,Congo Brazzaville,Cie
,,Congo Brazzaville,Sté
,,Congo Brazzaville,Sté
,,Congo Brazzaville,Sté
,,Congo Brazzaville,Sté
,,Congo Brazzaville,Sté
,,Congo Brazzaville,Sté
5.4833,-3.2,Cote d'Ivoire,Afema
6.75,-5.0833,Cote d'Ivoire,Bonikro
6.6167,-8.45,Cote d'Ivoire,Ity
,,Cote d'Ivoire,Sté
10.2,-5.6333,Cote d'Ivoire,Tongon
7.05,-5.5667,Cote d'Ivoire,Yaoure
-11.6167,27.5542,DRC,Big
-11.6167,27.5542,DRC,Big
-11.6167,27.5542,DRC,Big
-10.7167,25.4,DRC,Dikulushi
-10.7167,25.4,DRC,Dikulushi
-11.6167,27.6167,DRC,Etoile
-11.6167,27.6167,DRC,Etoile
-12.7333,28.5667,DRC,Frontier
-10.7333,25,DRC,Gecamines
-10.7333,25,DRC,Gecamines
-10.7333,25,DRC,Gecamines
-10.7333,25,DRC,Gecamines
,,Eritrea,Bisha
,,Ethiopia,Kenticha
,,Ethiopia,Lega
,,Gabon,Cie
,,Gabon,Moanda
7.2167,-2.2333,Ghana,Ahafo
6.05,-0.8,Ghana,Akwatia
6.2333,-2.2833,Ghana,Awaso
6.4167,-2.4167,Ghana,Bibiani
5.575,-2.0042,Ghana,Bogoso/Prestea
6.35,-2.3167,Ghana,Chirano
5.5,-1.75,Ghana,Damang
6.0083,-1.5875,Ghana,Dunkwa
5.9167,-1.7583,Ghana,Edikan
6.5458,-1.7792,Ghana,Esaase
,,Ghana,Great
5.2417,-2.0417,Ghana,Iduapriem
9.3167,-8.7167,Guinea,Aredor
11.0736,-13.8342,Guinea,Boke
10.45,-13.5667,Guinea,Friguia
,,Guinea,Hymex
,,Guinea,Hymex
10.05,-12.8667,Guinea,Kindia
10.4242,9.7997,Guinea,Kiniero
11.3167,-10.8167,Guinea,Lero-Fayalala
11.8167,-10.05,Guinea,Siguiri
,,Kenya,Lolgorien
,,Lesotho,Letseng
,,Lesotho,Letseng
,,Lesotho,Liqhobong
,,Lesotho,Liqhobong
7.6667,-10,Liberia,Bong
5.95,-10.0333,Liberia,Lamco
,,Liberia,Liberia
,,Liberia,Liberian
,,Liberia,National
7.56,-8.54,Liberia,Yekepa
,,Madagascar,Ambatovy
,,Madagascar,Ambatovy
,,Madagascar,Kraomita
,,Malawi,Kayelekera
12.8667,-11.3833,Mali,Gounkoto
10.8167,-7.9833,Mali,Kalana
13.05,-11.4,Mali,Loulo
12.2,-6.6333,Mali,Morila
13.9167,-11.6667,Mali,Sadiola
,,Mali,Sté
12.0167,-6.4667,Mali,Syama
12.9333,-11.1,Mali,Tabakoto
14.1,-11.7833,Mali,Yatela
,,Mozambique,Benga
,,Mozambique,Marropino
,,Mozambique,Minas
,,Mozambique,Moatize
,,Namibia,
-25.4,18.4833,Namibia,Asis
-25.4,18.4833,Namibia,Asis
-25.4,18.4833,Namibia,Asis
-25.4,18.5,Namibia,Asis
-25.4,18.5,Namibia,Asis
-25.4,18.5,Namibia,Asis
,,Namibia,Atlantic
,,Namibia,CDM
-26.9267,15.1889,Namibia,Elizabeth
-23.79,16.63,Namibia,Klein
-23.79,16.63,Namibia,Klein
-19.7,17.7,Namibia,Kombat/Asis
-19.7,17.7,Namibia,Kombat/Asis
-19.7,17.7,Namibia,Kombat/Asis
-22.65,15.3167,Namibia,Langer
-22.8333,16.75,Namibia,Matchless
-22.8333,16.75,Namibia,Matchless
-28.251,16.011,Namibia,Mining
-26.55,15.0333,Namibia,Namco
-26.55,15.0333,Namibia,Namco
-28.55,16.4333,Namibia,Namdeb
-28.55,16.4333,Namibia,Namdeb
-26.55,15.0333,Namibia,Namdeb
,,Namibia,Namibia
-21.9833,15.85,Namibia,Navachab
,,Namibia,Nordex
,,Namibia,Oamites
,,Namibia,Oamites
-28.55,16.4278,Namibia,Orange
-22.3333,17.1833,Namibia,Otjihase
-22.3333,17.1833,Namibia,Otjihase
-22.3333,17.1833,Namibia,Otjihase
-22.0833,17.3167,Namibia,Otjisondu
-27.95,16.7667,Namibia,Rosh
-27.95,16.7667,Namibia,Rosh
-27.95,16.7667,Namibia,Rosh
-22.4167,15.4167,Namibia,Rössing
-27.85,16.5333,Namibia,Skorpion
,,Namibia,South
,,Namibia,South
,,Namibia,South
,,Namibia,South
,,Namibia,South
,,Namibia,Tin
-19.2283,17.7122,Namibia,Tsumeb
-19.2283,17.7122,Namibia,Tsumeb
-19.2283,17.7122,Namibia,Tsumeb
-19.2283,17.7122,Namibia,Tsumeb
-19.2283,17.7122,Namibia,Tsumeb
-19.2283,17.7122,Namibia,Tsumeb
-19.2283,17.7122,Namibia,Tsumeb
-19.2283,17.7122,Namibia,Tsumeb
-21.2167,14.8667,Namibia,Uis
18.75,7.5,Niger,Akouta
18.7833,7.3333,Niger,Arlit
,,Niger,Cie
13.6,1.35,Niger,Samira
,,Niger,Sté
9.9,8.88,Nigeria,Amalgamated
9.9,8.88,Nigeria,Amalgamated
,,Nigeria,Bisichi
,,Nigeria,Bisichi
,,Nigeria,Consolidated
,,Nigeria,Consolidated
,,Nigeria,Ex-Lands
,,Nigeria,Gold
,,Nigeria,Gold
7.95,6.2333,Nigeria,Itakpe
,,Nigeria,Nigerian
17.7833,7.3833,Nigeria,Tefereyre
,,Rwanda,Regie
-1.9,30.0667,Rwanda,Sté
-1.9,30.0667,Rwanda,Sté
,,Senegal,Cie
,,Senegal,Douta
,,Senegal,Sabodala
,,Senegal,Thies
8.7,-11.9667,Sierra Leone,Marampa
,,Sierra Leone,National
,,Sierra Leone,National
7.9167,-12.1667,Sierra Leone,Sierra
7.735,-12.295,Sierra Leone,Sierra
7.896,-12.084,Sierra Leone,SML
-26.15,31.5833,Swaziland,Dokolwayo
-27.05,31.6833,Swaziland,Maloma
,,Swaziland,Swaziland
-3.8,32.6,Tanzania,Bulyanhulu
-3.855,32.655,Tanzania,Buzwagi
-2.9167,32.0833,Tanzania,Geita
-4.1333,33.1667,Tanzania,Golden
-8.364,32.97,Tanzania,New
-1.65,34.4389,Tanzania,North
,,Tanzania,State
-3.3667,31.65,Tanzania,Tulawaka
