Metalmineral,Fullname,Status,Controllingcompany1contro,Controllingcompany1country,Controllingcompany1type,Controllingcompany2contro,Controllingcompany2country,Controllingcompany2type,Controllingcompany3contro,Controllingcompany3country,Controllingcompany3type,Companycountry,Latitude,Longitude,country,shortname,metal,admin_03
Diamond carats  (Mct),Catoca Diamond Mine,Operating,Alrosa Group (33%),Russia,Major company,State of Angola (33%),Angola,Government organ,Daumonty (18%),Netherlands ,Non-mining compa,Russia,-9.95,20.3833,Angola,Catoca,Dia,AGO
Diamond value  (M USD),Catoca Diamond Mine,Operating,Alrosa Group (33%),Russia,Major company,State of Angola (33%),Angola,Government organ,Daumonty (18%),Netherlands ,Non-mining compa,Russia,-9.95,20.3833,Angola,Catoca,Dia,AGO
Diamond carats  (Mct),Cuango Diamond Mine Area,Operating: exp/plans,State of Angola (50%),Angola ,Government organ,Odebrecht (50%),Brazil,Non-mining compa,,,,Angola,-9,18,Angola,Cuango,Dia,AGO
Diamond value  (M USD),Cuango Diamond Mine Area,Operating: exp/plans,State of Angola (50%),Angola,Government organ,Odebrecht (50%),Brazil,Non-mining compa,,,,Angola,-9,18,Angola,Cuango,Dia,AGO
Diamond carats  (Mct),Empresa Nacional de Diamantes de Angola,Active,State of Angola (100%),Angola,Government organ,,,,,,,Angola,,,Angola,Empresa,Dia,AGO
Diamond carats  (Mct),Luarica Diamond Mine,Suspended,State of Angola (65%),Angola,Government organ,Northam (35%),South Africa,Company ,,,,Angola,-8.28,21.04,Angola,Luarica,Dia,AGO
Diamond carats  (Mct),Lucapa Diamond Mine,Operating,State of Angola (100%),Angola,Government organ,,,,,,,Angola,-8.4167,20.7333,Angola,Lucapa,Dia,AGO
Diamond carats  (Mct),Luo Diamond Mine,Susp: restart/feasib,Energem (100%),UK,Company ,,,,,,,UK,-9.25,19.9,Angola,Luo,Dia,AGO
Diamond value  (M USD),Luo Diamond Mine,Susp: restart/feasib,Energem (100%),UK,Company ,,,,,,,UK,-9.25,19.9,Angola,Luo,Dia,AGO
Diamond carats  (Mct),Yetwene Diamond Mine,Suspended,Energem (100%),UK,Company ,,,,,,,UK,-8.2667,20.5667,Angola,Yetwene,Dia,AGO
Diamond carats  (Mct),Damtshaa Diamond Mine,Suspended,Anglo American (50%),UK,Major company,State of Botswana (50%),Botswana,Government organ,,,,UK,,,Botswana,Damtshaa,Dia,BWA
Diamond value  (M USD),Damtshaa Diamond Mine,Suspended,Anglo American (50%),UK,Major company,State of Botswana (50%),Botswana,Government organ,,,,UK,,,Botswana,Damtshaa,Dia,BWA
Manganese ore  (Mt),Jacomar Manganese Mine,Suspended,Jacomar Pty (100%),Botswana,Company ,,,,,,,Botswana,,,Botswana,Jacomar,Mn,BWA
