,Companycountry,Metal,Mine,Production,Status,Year
0,Russia,Dia,Catoca,0.0,Operating,1990
1,Russia,Dia,Catoca,0.0,Operating,1991
2,Russia,Dia,Catoca,0.0,Operating,1992
3,Russia,Dia,Catoca,0.0,Operating,1993
4,Russia,Dia,Catoca,0.0,Operating,1994
5,Russia,Dia,Catoca,0.0,Operating,1995
6,Russia,Dia,Catoca,0.0,Operating,1996
7,Russia,Dia,Catoca,0.0,Operating,1997
8,Russia,Dia,Catoca,1.02,Operating,1998
9,Russia,Dia,Catoca,1.44,Operating,1999
10,Russia,Dia,Catoca,1.5,Operating,2000
11,Russia,Dia,Catoca,2.69,Operating,2001
12,Russia,Dia,Catoca,3.0,Operating,2002
13,Russia,Dia,Catoca,2.8,Operating,2003
14,Russia,Dia,Catoca,0.0,Operating,2004
15,Russia,Dia,Catoca,0.0,Operating,2005
16,Russia,Dia,Catoca,6.25,Operating,2006
17,Russia,Dia,Catoca,6.1,Operating,2007
18,Russia,Dia,Catoca,8.9,Operating,2008
19,Russia,Dia,Catoca,7.06,Operating,2009
20,Russia,Dia,Catoca,6.74,Operating,2010
21,Russia,Dia,Catoca,6.78,Operating,2011
22,Russia,Dia,Catoca,0.0,Operating,2012
23,Angola,Dia,Cuango,0.0,"Operating, exp/plans",1990
24,Angola,Dia,Cuango,0.0,"Operating, exp/plans",1991
25,Angola,Dia,Cuango,0.0,"Operating, exp/plans",1992
26,Angola,Dia,Cuango,0.0,"Operating, exp/plans",1993
27,Angola,Dia,Cuango,0.0,"Operating, exp/plans",1994
28,Angola,Dia,Cuango,0.0,"Operating, exp/plans",1995
29,Angola,Dia,Cuango,0.0,"Operating, exp/plans",1996
30,Angola,Dia,Cuango,0.0,"Operating, exp/plans",1997
31,Angola,Dia,Cuango,0.0,"Operating, exp/plans",1998
32,Angola,Dia,Cuango,0.19,"Operating, exp/plans",1999
33,Angola,Dia,Cuango,0.11,"Operating, exp/plans",2000
34,Angola,Dia,Cuango,0.42,"Operating, exp/plans",2001
35,Angola,Dia,Cuango,0.5,"Operating, exp/plans",2002
36,Angola,Dia,Cuango,0.0,"Operating, exp/plans",2003
37,Angola,Dia,Cuango,0.0,"Operating, exp/plans",2004
38,Angola,Dia,Cuango,0.0,"Operating, exp/plans",2005
39,Angola,Dia,Cuango,0.0,"Operating, exp/plans",2006
40,Angola,Dia,Cuango,0.0,"Operating, exp/plans",2007
41,Angola,Dia,Cuango,0.0,"Operating, exp/plans",2008
42,Angola,Dia,Cuango,0.0,"Operating, exp/plans",2009
43,Angola,Dia,Cuango,0.0,"Operating, exp/plans",2010
44,Angola,Dia,Cuango,0.0,"Operating, exp/plans",2011
45,Angola,Dia,Cuango,0.0,"Operating, exp/plans",2012
46,Angola,Dia,Empresa,1.3,Active,1990
47,Angola,Dia,Empresa,1.3,Active,1991
48,Angola,Dia,Empresa,1.5,Active,1992
49,Angola,Dia,Empresa,0.0,Active,1993
50,Angola,Dia,Empresa,0.0,Active,1994
51,Angola,Dia,Empresa,0.0,Active,1995
52,Angola,Dia,Empresa,0.0,Active,1996
53,Angola,Dia,Empresa,0.0,Active,1997
54,Angola,Dia,Empresa,0.0,Active,1998
55,Angola,Dia,Empresa,0.0,Active,1999
56,Angola,Dia,Empresa,0.0,Active,2000
57,Angola,Dia,Empresa,0.0,Active,2001
58,Angola,Dia,Empresa,0.0,Active,2002
59,Angola,Dia,Empresa,0.0,Active,2003
60,Angola,Dia,Empresa,0.0,Active,2004
61,Angola,Dia,Empresa,0.0,Active,2005
62,Angola,Dia,Empresa,0.0,Active,2006
63,Angola,Dia,Empresa,0.0,Active,2007
64,Angola,Dia,Empresa,0.0,Active,2008
65,Angola,Dia,Empresa,0.0,Active,2009
66,Angola,Dia,Empresa,0.0,Active,2010
67,Angola,Dia,Empresa,0.0,Active,2011
68,Angola,Dia,Empresa,0.0,Active,2012
69,Angola,Dia,Luarica,0.0,Suspended,1990
70,Angola,Dia,Luarica,0.0,Suspended,1991
71,Angola,Dia,Luarica,0.0,Suspended,1992
72,Angola,Dia,Luarica,0.0,Suspended,1993
73,Angola,Dia,Luarica,0.0,Suspended,1994
74,Angola,Dia,Luarica,0.0,Suspended,1995
75,Angola,Dia,Luarica,0.0,Suspended,1996
76,Angola,Dia,Luarica,0.0,Suspended,1997
77,Angola,Dia,Luarica,0.0,Suspended,1998
78,Angola,Dia,Luarica,0.0,Suspended,1999
79,Angola,Dia,Luarica,0.0,Suspended,2000
80,Angola,Dia,Luarica,0.0,Suspended,2001
81,Angola,Dia,Luarica,0.0,Suspended,2002
82,Angola,Dia,Luarica,0.1,Suspended,2003
83,Angola,Dia,Luarica,0.1,Suspended,2004
84,Angola,Dia,Luarica,0.0,Suspended,2005
85,Angola,Dia,Luarica,0.0,Suspended,2006
86,Angola,Dia,Luarica,0.0,Suspended,2007
87,Angola,Dia,Luarica,0.0,Suspended,2008
88,Angola,Dia,Luarica,0.0,Suspended,2009
89,Angola,Dia,Luarica,0.0,Suspended,2010
90,Angola,Dia,Luarica,0.0,Suspended,2011
91,Angola,Dia,Luarica,0.0,Suspended,2012
92,Angola,Dia,Lucapa,0.0,Operating,1990
93,Angola,Dia,Lucapa,0.0,Operating,1991
94,Angola,Dia,Lucapa,0.0,Operating,1992
95,Angola,Dia,Lucapa,0.0,Operating,1993
96,Angola,Dia,Lucapa,0.0,Operating,1994
97,Angola,Dia,Lucapa,0.0,Operating,1995
98,Angola,Dia,Lucapa,0.0,Operating,1996
99,Angola,Dia,Lucapa,0.0,Operating,1997
100,Angola,Dia,Lucapa,0.0,Operating,1998
101,Angola,Dia,Lucapa,0.0,Operating,1999
102,Angola,Dia,Lucapa,0.0,Operating,2000
103,Angola,Dia,Lucapa,0.0,Operating,2001
104,Angola,Dia,Lucapa,0.0,Operating,2002
