A,Metalmineral,Status,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Companycountry,country,shortname,metal
1,Diamond carats  (Mct),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,1.02,1.44,1.5,2.69,3,2.8,  ..   ,  ..   ,6.25,6.1,8.9,7.06,6.74,6.78,  ..   ,Russia,Angola,Catoca,Dia
5,Diamond carats  (Mct),"Operating, exp/plans",  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.19,0.11,0.42,0.5,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Angola,Angola,Cuango,Dia
7,Diamond carats  (Mct),Active,1.3,1.3,1.5,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Angola,Angola,Empresa,Dia
8,Diamond carats  (Mct),Suspended,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.1,0.1,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Angola,Angola,Luarica,Dia
9,Diamond carats  (Mct),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.1,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Angola,Angola,Lucapa,Dia
10,Diamond carats  (Mct),"Susp, restart/feasib", ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.03,0.06,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,UK,Angola,Luo,Dia
12,Diamond carats  (Mct),Suspended, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.02,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,UK,Angola,Yetwene,Dia
1,Diamond carats  (Mct),Suspended, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.01,0.29,0.34,0.3,0.23,0.34,0.53,0.05, ---  ,  ..   ,  ..   ,UK,Botswana,Damtshaa,Dia
3,Manganese ore  (Mt),Suspended,  ..   ,  ..   ,  ..   ,0,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,Botswana,Botswana,Jacomar,Mn
4,Diamond carats  (Mct),"Operating, exp/feasib",9.07,9.44,9.07,8.55,9.07,10.47,11.17,12.47,12.69,11.4,11.62,12.34,13.04,12.77,13.68,15.6,15.64,13.48,13.67,9.04,11.47,10.64,  ..   ,UK,Botswana,Jwaneng,Dia
6,Diamond carats  (Mct),Operating,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.3,Canada,Botswana,Karowe,Dia
7,Diamond carats  (Mct),Operating,0.95,0.96,0.9,1,1.12,0.91,0.9,0.89,0.79,0.88,0.96,1.02,1.03,1.06,1.03,1.1,1.09,1.11,1.2,1.07,1.22,1.09,  ..   ,UK,Botswana,Letlhakane,Dia
9,Gold  (t),Closed,  ..   ,  ..   ,  ..   ,  ..   ,0.1,  ..   ,  ..   ,  ..   , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,Canada,Botswana,Monarch,Au
10,Coal  (Mt),"Operating, exp/plans",  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,0.939,0.947,0.953,0.823,0.913,0.984,0.9,0.75,0.84,0.74,0.99,0.8,  ..   ,UK,Botswana,Morupule,coal
11,Copper  (kt),Suspended,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   ,  ..   , ---  , ---  ,4.3,  ..   ,  ..   ,  ..   ,Luxembourg,Botswana,Mowana,Cu
12,Gold  (t),Operating, ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  , ---  ,0.1,2.6,2,2.7,3.14,1.6,1.8,1.244,  ..   ,Canada,Botswana,Mupane,Au
